account_open_date,age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,earliest_credit_account,recent_trade_activity,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag,derived_account_age,derived_credit_history_length,derived_recency_of_activity,derived_delinquent_to_credit_ratio,derived_default_to_credit_ratio,derived_balance_stability,derived_high_application_frequency,derived_behavioral_risk_flag,derived_income_to_balance_ratio,derived_debt_income_balance_ratio,derived_fico_with_delinquency,derived_late_payment_risk,derived_new_account_risk,derived_log_debt_to_income_ratio,derived_log_max_balance,derived_log_avg_balance,derived_fico_binned,derived_standardized_dti_ratio,derived_high_risk_indicator,derived_combined_behavior_flag
2023-11-09,56,Los Angeles,Teacher,40099,424.0,108,True,10,3.139571892877356,False,18209.38313592161,4324.930673,4.0,2,2018-09-11,2024-03-07,3,True,True,False,False,True,1,6,273,0.36363636363636365,0.18181818181818182,0.23749806034935572,1,1,9.269450444565644,0.338614233905086,3.889908256880734,26.089654388133063,0.42857142857142855,1.4205923749727503,9.809747212364218,8.372382580725784,Low,2.412823582789224,0,1
2022-09-11,69,New York,Engineer,2050,483.0,0,False,1,1.017488807907175,False,33673.69650382912,21726.59391588883,3.0,2,2023-03-08,2024-01-28,3,False,True,False,False,False,2,1,312,1.5,1.0,0.645190489346157,0,1,0.09435006968263006,10.778433029430039,483.0,0.0,1.5,0.7018535736408421,10.424501988731022,9.986338340745666,Low,-0.6685714566888905,0,1
2020-07-12,46,Miami,Engineer,71936,566.0,0,False,1,1.5086258177093483,False,101918.17420194212,63930.10225451282,2.0,0,2024-04-26,2024-10-03,2,False,False,False,False,False,4,0,63,1.0,0.0,0.6272627575243305,0,0,1.1252113206748617,1.3407092704721721,566.0,0.0,2.0,0.9197351202358371,11.53193536835894,11.065561255196885,Low,0.044589661472416726,0,0
2024-08-13,32,Houston,Banker,15833,636.0,97,True,5,2.9951498518514263,False,9055.101658652206,3033.4037415672315,3.0,1,2023-09-14,2024-10-14,4,False,True,True,False,False,0,1,52,0.5,0.16666666666666666,0.33495690043067433,0,2,5.2178290525777085,0.5737968149021508,6.489795918367347,24.27943971990147,2.0,1.3850810883649305,9.111194025937843,8.017770223424032,Fair,2.2031139046147437,0,2
2024-07-27,60,Houston,Lawyer,8574,787.0,0,False,1,1.1823796693164983,False,91682.85204,77457.38701642072,0.0,0,2022-11-08,2024-09-02,0,True,False,True,False,False,0,2,94,0.0,0.0,0.8448312902759307,0,1,0.11069169305297259,10.680354477737092,787.0,0.0,0.0,0.7804158728778746,11.42610154720902,11.257496129413006,Very Good,-0.4291397935270773,0,1
2022-03-06,25,Chicago,Teacher,59349,688.0,0,False,1,1.1211958904555102,True,91705.65064837413,78392.24518677974,0.0,0,2018-11-18,2024-03-19,0,False,False,True,False,False,2,6,261,0.0,0.0,0.8548152683860945,0,1,0.757067778717351,1.4809277699578465,688.0,0.0,0.0,0.7519800289112024,11.426350181769232,11.269493044294766,Good,-0.5179824001215425,0,1
2023-10-26,38,Los Angeles,Banker,6925,740.0,0,False,1,1.6596310732496211,False,29940.71406937852,24486.0934988142,0.0,0,2022-03-01,2024-01-04,0,False,False,True,False,False,1,2,336,0.0,0.0,0.817791975505377,0,1,0.28280204019866,5.867438872816573,740.0,0.0,0.0,0.9781874189076087,10.307007906481136,10.105901461760306,Very Good,0.2638585716543477,0,1
2020-10-29,56,Dallas,Accountant,25139,563.0,0,False,1,0.8765796560005229,False,56872.14948368606,30352.353060193185,1.0,1,2022-09-11,2023-11-21,2,False,False,False,False,False,4,2,380,0.5,0.5,0.5336851103858719,0,0,0.8282116295404762,1.0583235960346284,563.0,0.0,0.6666666666666666,0.6294507879328811,10.948578619173352,10.32066227012798,Low,-0.8731802039982954,0,0
2022-09-10,36,Los Angeles,Other,6197,758.0,22,False,1,1.008079800940948,False,60627.640485901225,50566.24896907005,0.0,0,2022-07-25,2024-10-02,3,False,False,True,False,True,2,2,64,0.0,0.0,0.834032374201577,0,1,0.12254967644750568,8.224397256384407,32.95652173913044,10.955739901218678,1.0,0.6971789425442663,11.01252267568888,10.83105939214084,Very Good,-0.6822339129788876,0,1
2021-03-01,40,Seattle,Banker,4262,518.0,100,True,3,1.941141723751627,False,28726.579655516136,6100.624274746838,4.0,2,2019-06-15,2024-04-08,3,True,False,False,False,True,3,5,241,1.0,0.5,0.21236123432262155,0,0,0.6985025311439443,2.7778973306692696,5.128712871287129,34.00040167817659,0.5,1.0787978473776982,10.265612903924607,8.716310289265289,Low,0.6726293347601322,0,0
